資料番号,書誌ID,書誌情報,請求記号,巻冊次等／表示用巻号／製本巻号,学年,利用者区分名称,所属名称,貸出カウンタ種別名称,返却カウンタ種別名称,和洋区分名称,所在名称,貸出日,貸出時刻,貸出曜日,返却日,返却時刻
00130238089,TT21955930,"確率・統計 / 東京大学工学教程編纂委員会編 ; 縄田和満著 ; 1. -- 丸善出版, 2013.10. -- xiv, 173p ; 21cm. -- (東京大学工学教程 / 東京大学工学教程編纂委員会編 . 基礎系数学).",MA211/01298,1,04,学生,工学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,012511,4,20160622,163212
00150068937,TT22017403,"コア・テキスト確率統計 / 西川貴雄著. -- サイエンス社, 2015.3. -- viii, 215p : 挿図 ; 21cm. -- (ライブラリ : 数学コア・テキスト ; 6).",MA211/01387,,04,学生,工学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,012511,4,20160622,163210
00150243562,TT22039410,"アディクションと加害者臨床 : 封印された感情と閉ざされた関係 / 藤岡淳子編著. -- 金剛出版, 2016.1. -- 235p ; 21cm.",A751/0165,,04,学生,教育学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,081556,4,20160620,181328
00130200359,TT21943044,"水族館の歴史 : 海が室内にやってきた / ベアント・ブルンナー [著] ; 山川純子訳. -- 白水社, 2013.9. -- 196, 9p : 挿図 ; 19cm.",RA12/026,,01,学生,法学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,083706,4,20160607,083612
00030302346,TT21410633,"水族館 / 鈴木克美著. -- 法政大学出版局, 2003.7. -- vi, 280p, 図版[3]p ; 20cm. -- (ものと人間の文化史 ; 113).",RA12/013,,01,学生,法学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,083707,4,20160607,083613
00140231551,TT21994613,"日本の水族館 / 内田詮三, 荒井一利, 西田清徳著. -- 東京大学出版会, 2014.8. -- vi, 224p : 挿図, 地図 ; 22cm. -- (Natural history).",RA12/029,,01,学生,法学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,083709,4,20160607,083610
00100200635,TT21794535,"記憶の中のソ連 : 中央アジアの人々の生きた社会主義時代 / ティムール・ダダバエフ著. -- 筑波大学出版会. -- xiv, 270p ; 22cm.",GG829/050,,01,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,084051,4,20160728,090618
00130121895,TT21928101,"スピントロニクスの基礎 : 磁気の直観的理解をめざして / 宮崎照宣, 土浦宏紀共著. -- 森北出版, 2013.3. -- vii, 227p : 挿図 ; 22cm.",ND351/0137,,M1,大学院生,工学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,090159,4,20160624,095027
01800789551,TT21620285,"Murder-go-round : including, Thirteen at dinner, The A.B.C. murders, Funerals are fatal / by Agatha Christie. -- Dodd, Mead, c1972. -- 638 p. ; 22 cm.",933/947,,D2,大学院生,医工学,本館メインカウンター,本館メインカウンター,洋書,本館書庫旧教養,20160601,090920,4,20160725,105529
00130364090,TT21969640,"一个人的美食之旅 / (日) 高木直子?? ; ?怡君?. -- 第3版. -- 江西科学技?出版社, 2013.7. -- 173p ; 21cm. -- (超人气?本 / 黄利主?).",GB645/088,,D2,大学院生,医工学,本館メインカウンター,本館メインカウンター,和書,本館グローバル留学生用,20160601,090924,4,20160621,094625
00150214240,TT22035520,"英語で伝えたい日本の世界遺産 / ジャパンタイムズ編. -- ジャパンタイムズ, 2015.8. -- 238p : 地図, 挿図 ; 21cm.",K275/0157,,D2,大学院生,医工学,本館メインカウンター,本館メインカウンター,和書,本館グローバル留学生用,20160601,090926,4,20160621,094623
00130257948,TT21919120,"グローバリゼーションとフードエコノミー : 新たな課題への挑戦 / フランク・ビュンテ, ハンス・ダーフホス編 ; 下渡敏治, 宮部和幸, 上原秀樹訳. -- 農林統計出版, 2012.9. -- viii, 174p : 挿図 ; 21cm.",DM175/036,,01,学生,薬学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,093802,4,20160609,102318
01840251103,TT20115173,"世界の食糧問題と日本農業 / 唯是康彦, 斎藤優編. -- 有斐閣, 1981.5. -- xii, 262p ; 20cm. -- (有斐閣選書 ; 395).",DM175/06,,01,学生,薬学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,093809,4,20160609,102320
00020220234,TT21009304,"Fr?he Schriften, 1764-1772 / Johann Gottfried Herder ; herausgegeben von Ulrich Gaier ; : Ln, : Ld. -- 1. Aufl. -- Deutscher Klassiker Verlag, 1985. -- 1398 p. ; 19 cm. -- (Bibliothek deutscher Klassiker ; 1. Werke in zehn B?nden / Johann Gottfried Herder ; herausgegeben von Martin Bollacher ... [et al.] ; Bd. 1).",KS398-5/6,,D3,大学院生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館書庫,20160601,094028,4,20160601,175713
00020220325,TT21054536,"Journal meiner Reise im Jahr 1769 ; P?dagogische Schriften / Johann Gottfried Herder ; herausgegeben von Rainer Wisbert ; unter Mitarbeit von Klaus Pradel ; : Leinen Einzelbezug, : Leder Einzelbezug. -- 1 Aufl. -- Deutscher Klassiker Verlag, 1997. -- 1488 p. ; 19 cm. -- (Bibliothek deutscher Klassiker ;  147 . { Werke in zehn B?nden / Johann Gottfried Herder ; herausgegeben von G?nter Arnold ... [et al.] } ; Bd. 9/2).",KS398-5/14,,D3,大学院生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館書庫,20160601,094032,4,20160601,175710
01800127211,TT20023923,"S?mtliche Werke / Johann Gottfried Herder ; herausgegeben von Bernhard Suphan ; Bd. 1 - Bd. 33. -- G. Olms, 1967-1968. -- 33 v. ; 21 cm.",084/5/1,Bd. 1,D3,大学院生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館書庫旧教養,20160601,094036,4,20160601,175718
00020111278,TT21296377,"ヘルダー旅日記 / J.G.ヘルダー著 ; 嶋田洋一郎訳. -- 九州大学出版会, 2002.1. -- ii, 339p, xxvii, 図版 [2] p ; 22cm.",KS398/021,,D3,大学院生,教育学部,本館メインカウンター,本館メインカウンター,和書,本館書庫,20160601,094040,4,20160601,175715
04060008851,TT21600233,"よくわかる樹木大図鑑 : 葉花実樹皮 / 平野隆久著. -- 永岡書店, 2007.3. -- 367p ; 26cm.",653.2/10,,D3,大学院生,教育学部,本館メインカウンター,本館メインカウンター,和書,農学分館図書,20160601,100351,4,20160621,113005
04140001873,TT21975551,"樹木の形の不思議 / 東京農業大学短期大学部環境緑地学科, 樹木生態研究会編. -- 東京農業大学出版会, 2014.3. -- 158p ; 21cm.",653.12/6,,D3,大学院生,教育学部,本館メインカウンター,本館メインカウンター,和書,農学分館図書,20160601,100351,4,20160621,113054
04140007187,TT21992106,"葉っぱで調べる身近な樹木図鑑 : この木なんの木? : 実物大で分かりやすい! / 林将之著. -- 増補改訂版. -- 主婦の友社, 2014.10. -- 207p ; 21cm.",653.21/16,,D3,大学院生,教育学部,本館メインカウンター,本館メインカウンター,和書,農学分館図書,20160601,100351,4,20160621,113118
04140009481,TT21997402,"樹木の葉 : 実物スキャンで見分ける1100種類 / 林将之解説・写真. -- 山と溪谷社, 2014.4. -- 759p : 挿図 ; 21cm. -- (山溪ハンディ図鑑 ; 14).",653.2/25,,D3,大学院生,教育学部,本館メインカウンター,本館メインカウンター,和書,農学分館図書,20160601,100351,4,20160621,113136
00140302930,TT21765074,"White fang / Jack London ; retold by Brigit Viney ; [book], [book and CD pack]. -- Pearson Education, 2008. -- iv, 42 p. : col. ill. ; 20 cm. -- (Penguin readers ; level 2).",KS61/19,,01,学生,工学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,100605,4,20160616,091737
00140298212,TT21918977,"Marley & me / John Grogan ; retold by Anne Collins ; : [book and audio CD pack]. -- Pearson Education, 2012. -- iv, 43 p. : chiefly col. ill. ; 20 cm. -- (Penguin readers ; level 2).",KS61/19,,01,学生,工学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,100609,4,20160616,091738
00020201946,TT21322868,"人事管理入門 / 今野浩一郎, 佐藤博樹著. -- 日本経済新聞社, 2002.5. -- x, 313p : 挿図 ; 21cm. -- (Management text).",DH311/0292,,D3,大学院生,教育学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,100953,4,20160621,113144
00080183010,TT21693000,"日本的人事管理論 : 組織と個人の新しい関係 / 太田肇著. -- 中央経済社, 2008.7. -- 5, 7, 205p : 挿図 ; 22cm.",DH311/0404,,D3,大学院生,教育学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101000,4,20160621,113140
00140343158,TT22001678,"人的資源管理の基本 / 白木三秀編著. -- 新版. -- 文眞堂, 2013.4. -- ix, 282p : 挿図 ; 21cm.",DH311/0475,,D3,大学院生,教育学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101004,4,20160621,113146
00090229227,TT21483906,"単位が取れる量子化学ノート / 福間智人著 ; 講談社サイエンティフィク編. -- 講談社, 2004.10. -- 190p ; 21cm.",PA47/0184,,01,学生,工学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101108,4,20160618,123500
00050113624,TT21481621,"「作品」として読む古事記講義 / 山田永著. -- 藤原書店, 2005.2. -- 284p : 挿図 ; 22cm.",KG25/055,,01,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101226,4,20160603,134323
00060146378,TT21571417,"面白いほどよくわかる古事記 : 古代の神々・天皇が織り成す波瀾万丈の物語 / 島崎晋著. -- 日本文芸社, 2006.2. -- 350p ; 19cm. -- (学校で教えない教科書).",KG25/061,,01,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101232,4,20160603,134316
00030009978,TT21345692,"古事記の秘密 : 太安萬侶の込めた謎を解く / 田島恒著. -- 文芸社, 2002.11. -- 242p ; 20cm.",KG25/049,,01,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101239,4,20160603,134320
00060145519,TT21570440,"古事記 : 歴史が語る""日本のあけぼの"" / 近藤啓太郎 [著]. -- 世界文化社, 2006.2. -- 199p ; 24cm. -- (ビジュアル版日本の古典に親しむ ; 4).",KG25/060,,01,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101246,4,20160603,134326
00150210320,TT22033590,"韓国語レッスン / 金東漢, 張銀英共著 ; 初級 1, 初級 2. -- 改訂版. -- スリーエーネットワーク, 2003.1-2003.4. -- 冊 ; 26cm.",KJ43/0250,初級 1,M1,大学院生,国際文化,本館メインカウンター,本館メインカウンター,和書,本館グローバル留学情報_語学,20160601,101312,4,20160621,144249
00150214108,TT22035421,"ゼロから話せる韓国語 : 会話中心 / 塩田今日子著. -- 改訂版. -- 三修社, 2015.6. -- viii, 157p : 挿図 ; 21cm + CD (1枚 ; 12cm).",KJ43/0255,,M1,大学院生,国際文化,本館メインカウンター,本館メインカウンター,和書,本館グローバル留学情報_語学,20160601,101312,4,20160621,144256
00090233385,TT21605861,"常微分方程式 / E. クライツィグ著 ; 北原和夫, 堀素夫共訳. -- 第8版. -- 培風館, 2006.11. -- x, 303p : 挿図 ; 21cm. -- (技術者のための高等数学 / E.クライツィグ著 ; 1).",MA117/0315,,02,学生,理学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101342,4,20160805,080948
00130030880,TT21928931,"認知心理学 / 高野陽太郎著. -- 放送大学教育振興会, 2013.3. -- 382p ; 21cm. -- (放送大学教材 ; 1528904-1-1311).",SB81/081,,04,学生,教育学部,本館メインカウンター,本館メインカウンター,和書,本館1F学閲放送大学,20160601,101420,4,20160630,145452
00080201086,TT21696581,"漢字系学習者のための漢字から学ぶ語彙 / 佐藤保子 [ほか] 著 ; 1 日常生活編, 2 学校生活編. -- アルク, 2008.3. -- 2冊 ; 26cm.",KF45/0117,2 学校生活編,M1,大学院生,国際文化,本館メインカウンター,本館メインカウンター,和書,本館グローバル留学生用,20160601,101500,4,20160621,144251
00140289428,TT22001066,"はじめよう経済学のための情報処理 : Excelによるデータ処理とシミュレーション / 山下隆之 [ほか] 著. -- 第4版. -- 日本評論社, 2014.10. -- viii, 232p : 挿図 ; 26cm.",DA49/0501,,M1,大学院生,経済学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101557,4,20160622,115109
00150219639,TT22034474,"問題意識の倫理 / 近藤剛著. -- ナカニシヤ出版, 2015.8. -- ix, 292p ; 20cm.",H51/0211,,01,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101602,4,20160608,121522
00110319289,TT21840770,"質問紙デザインの技法 / 鈴木淳子著. -- ナカニシヤ出版, 2011.9. -- ix, 229p ; 22cm.",EC35/09,,03,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101700,4,20160606,181714
00050284261,TT21535293,"ターゲット分子の合成と生体分子・医薬品の化学 / 日本薬学会編. -- 東京化学同人, 2005.9. -- ix, 257p ; 26cm. -- (スタンダード薬学シリーズ / 日本薬学会編 ;  3 . 化学系薬学 ; 2).",PA23/0222,,01,学生,歯学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101857,4,20160610,205343
00050284279,TT21535294,"自然が生み出す薬物 / 日本薬学会編. -- 東京化学同人, 2005.10. -- xi, 283p, 図版4枚 : 挿図 ; 26cm. -- (スタンダード薬学シリーズ / 日本薬学会編 ;  3 . 化学系薬学 ; 3).",PA23/0222,,01,学生,歯学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,101900,4,20160610,205344
00100286985,TT21811713,"One piece / story and art by Eiichir? Oda ; v. 1 - v. 65. -- VIZ Media, 2003-. -- v. : ill. ; 19 cm. -- (Shonen jump graphic novel)(Shonen jump manga).",ED61/10,v. 2,02,学生,経済学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルComic,20160601,101923,4,20160617,123251
00110298821,TT21853614,"恋の都 / 三島由紀夫著. -- 筑摩書房, 2008.4. -- 314p ; 15cm. -- (ちくま文庫 ; [み-13-14]).",KH348/013,,02,学生,経済学部,本館メインカウンター,本館メインカウンター,和書,本館1F学閲新書ちくま文庫,20160601,102114,4,20160608,101804
00070285321,TT20156017,"基礎統計学 / 押川元重, 阪口紘治共著. -- 培風館, 1989.10. -- v, 242p ; 21cm.",MA211/0418,,02,学生,農学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,102229,4,20160603,182357
00900086301,TT20110662,"統計数学 / 柳川尭著. -- 近代科学社, 1990.2. -- vii, 171p : 挿図 ; 22cm. -- (現代数学ゼミナール ; 10).",MA211/0388,,02,学生,農学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,102408,4,20160603,182356
00130317940,TT21920206,"Deserts / Janet Hardy-Gould ; : pbk, : [book with audio CD], : audio CD. -- Oxford University Press, 2009. -- 56 p. : col. ill ; 22 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Factfiles / series editor Christine Lindop ; Stage 1).",KS61/15,,01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,103251,4,20160621,123129
00140236048,TT21920202,"San Francisco / Janet Hardy-Gould ; : [CD pack]. -- Oxford University Press, 2012. -- 56 p. : ill. (chiefly col.) ; 22 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Factfiles ; stage 1).",KS61/15,,01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,103312,4,20160621,123132
00120274050,TT21920211,"Weddings / Christine Lindop ; : pbk, : [CD pack], : [audio CD]. -- Oxford University Press, 2011. -- 56 p. : ill. (chiefly col.), col. ports. ; 22 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Factfiles. Stage 1).",KS61/15,,01,学生,理学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,103321,4,20160621,123130
00140231162,TT21919815,"Dinosaurs / Tim Vicary. -- Oxford University Press, 2012. -- 72 p. : col. ill. ; 22 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Factfiles ; stage3).",KS61/15,,01,学生,工学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,103407,4,20160625,102722
